timestamp,symbol,side,price,quantity
1000000000,C,SELL,92.57807906002563,481
1000000001,U,SELL,109.24357757187434,182
1000000002,R,SELL,100.34611874185255,249
1000000003,L,SELL,97.1720425085243,469
1000000004,L,BUY,98.93818069377424,705
1000000005,W,SELL,102.23122018406166,443
1000000006,C,SELL,106.1681419968978,564
1000000007,S,SELL,90.00287771330619,545
1000000008,F,SELL,89.58412367378727,305
1000000009,C,SELL,111.0467921540253,315
1000000010,N,BUY,95.8766312779527,454
1000000011,Z,SELL,85.83157907403125,80
1000000012,T,BUY,104.43812709383104,701
1000000013,T,BUY,104.63369806032686,633
1000000014,S,SELL,84.69284742743294,340
1000000015,U,SELL,102.29481715463606,405
1000000016,N,BUY,107.35583092428374,362
1000000017,D,BUY,103.74386451706263,668
1000000018,V,BUY,106.31981483761395,771
1000000019,L,BUY,85.9573090190925,153
1000000020,N,BUY,103.31040154996195,442
1000000021,J,BUY,96.97380240529553,63
1000000022,E,SELL,95.17209841275356,479
1000000023,Y,SELL,108.70555609419726,285
1000000024,U,SELL,114.7927451067423,369
1000000025,Q,BUY,117.94370054600358,483
1000000026,K,BUY,113.14807871505906,357
1000000027,V,BUY,98.90265818369816,424
1000000028,O,SELL,103.52720163026343,776
1000000029,L,BUY,107.66822871784244,819
1000000030,L,BUY,101.21177949299462,55
1000000031,F,BUY,101.30764187911544,408
1000000032,C,SELL,108.23753131876182,854
1000000033,O,BUY,99.40717353974068,553
1000000034,X,BUY,92.70713063626339,245
1000000035,B,SELL,95.85526934164142,613
1000000036,W,SELL,106.33910377733743,187
1000000037,V,BUY,100.02993291199955,70
1000000038,H,BUY,103.40209976868339,650
1000000039,Q,SELL,106.70079242202189,539
1000000040,E,SELL,96.2515853710239,768
1000000041,T,SELL,107.56248163629806,377
1000000042,S,BUY,103.78842603458395,861
1000000043,J,BUY,87.65186913088522,450
1000000044,B,SELL,114.42304791186244,751
1000000045,Z,BUY,94.99255256243084,145
1000000046,L,BUY,83.44904656814816,142
1000000047,X,SELL,89.54956290413698,793
1000000048,R,SELL,89.78954839321678,842
1000000049,U,BUY,100.52173318657533,945
1000000050,T,SELL,97.26149494453763,358
1000000051,F,BUY,96.63168032359407,71
1000000052,J,SELL,106.19701965482479,980
1000000053,M,SELL,103.39875361192703,621
1000000054,M,BUY,103.16047870644286,284
1000000055,B,SELL,104.09828457328693,775
1000000056,O,BUY,106.16134668002238,908
1000000057,E,SELL,78.92046658222557,320
1000000058,T,BUY,96.3556174773554,781
1000000059,R,BUY,78.19789935510526,798
1000000060,X,SELL,100.36059926797796,526
1000000061,T,SELL,99.95367027775654,650
1000000062,J,BUY,110.4553227478968,306
1000000063,Z,SELL,111.87634392721121,932
1000000064,K,SELL,102.02775048252367,983
1000000065,I,BUY,94.996389226031,981
1000000066,X,SELL,104.85161112545738,750
1000000067,J,SELL,94.72082362675687,90
1000000068,B,BUY,99.98607348556651,398
1000000069,M,BUY,109.86136316960767,472
1000000070,U,SELL,94.42228654010576,961
1000000071,E,BUY,108.05678639242501,569
1000000072,M,SELL,106.77401368692303,559
1000000073,D,SELL,90.45208182869179,189
1000000074,R,BUY,109.73894128217401,804
1000000075,M,BUY,106.98566345371505,369
1000000076,I,SELL,101.01925887372657,137
1000000077,F,BUY,92.37676541972348,988
1000000078,O,BUY,91.4079398142443,230
1000000079,R,SELL,94.62337423096977,65
1000000080,Y,SELL,105.4259446329196,123
1000000081,L,SELL,90.44374832598602,479
1000000082,E,SELL,104.3751224861987,147
1000000083,V,SELL,87.58244471121607,850
1000000084,Q,BUY,97.95931415561151,536
1000000085,S,SELL,101.09647754574009,357
